MtoS.X,MtoS.Y,MtoS.Z,MtoS.rX,MtoS.rY,MtoS.rZ,A_x,StoFRC.X,StoFRC.Y,StoFRC.Z,StoFRC.rX,StoFRC.rY,StoFRC.rZ
0.000,-0.035,0.039,-9.793019,-0.006943,0.021895,0.000416,537.845,1.102,30.167,-9.791789,-0.151459,-0.035381,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.035,0.039,-9.793019,-0.006943,0.021895,0.000416,537.845,1.102,30.167,-9.791789,-0.151459,-0.035381,
0.000,-0.069,-0.002,-0.007828,-0.000071,0.005871,-0.005655,3.513,-0.246,-0.004,-0.007823,-0.000683,0.013833,
0.000,-0.069,-0.002,-0.007828,-0.000071,0.005871,-0.005655,3.513,-0.246,-0.004,-0.007823,-0.000683,0.013833,
0.000,-0.067,-0.021,-0.010515,-0.002533,0.005274,-0.000760,3.538,-0.271,-0.016,-0.010507,-0.001553,0.015969,
0.000,-0.067,-0.021,-0.010515,-0.002533,0.005274,-0.000760,3.538,-0.271,-0.016,-0.010507,-0.001553,0.015969,
0.000,-0.069,-0.021,-0.010520,-0.001726,0.005121,0.002764,3.607,-0.275,-0.014,-0.010509,-0.001341,0.016299,
0.000,-0.096,0.004,-0.010047,0.000179,0.002439,0.008577,3.449,-0.286,0.015,-0.010041,0.001241,0.016652,
0.000,-0.063,-0.014,-0.008977,-0.000247,0.004694,-0.005536,3.561,-0.247,0.000,-0.008971,-0.000122,0.013740,
0.000,-0.059,-0.003,-0.007223,0.000213,0.005348,0.014760,3.738,-0.238,0.013,-0.007223,0.001101,0.013309,
0.000,-0.080,-0.031,-0.010841,-0.003392,0.007129,-0.008385,3.532,-0.281,0.005,-0.010828,0.000566,0.016625,
0.000,-0.059,-0.043,-0.008582,-0.004549,0.003741,0.000183,3.653,-0.266,0.004,-0.008571,-0.001360,0.013937,
0.000,-0.001,-0.005,-0.006736,-0.002320,0.000789,-0.005239,3.621,-0.269,-0.005,-0.006735,-0.000210,0.015708,
0.000,-0.080,-0.007,-0.043085,-0.000491,0.007609,-0.007357,3.604,-0.255,0.017,-0.043071,0.001510,0.014050,
0.000,-0.084,-0.005,-0.011778,-0.002230,0.001012,0.001200,3.618,-0.298,-0.004,-0.011770,-0.002238,0.017945,
0.000,-0.011,-0.001,-0.006014,-0.001364,0.001025,-0.047003,3.697,-0.277,-0.096,-0.006015,-0.001741,0.015648,
0.000,-0.011,-0.001,-0.006014,-0.001364,0.001025,-0.047003,3.697,-0.277,-0.096,-0.006015,-0.001741,0.015648,
0.000,0.000,-0.003,-0.010099,-0.001671,0.001210,-0.015719,3.660,-0.260,-0.109,-0.010098,-0.002738,0.016055,
0.000,-0.073,-0.016,-0.007988,-0.002783,0.002237,0.002686,3.739,-0.264,-0.111,-0.007982,-0.002341,0.015801,
0.000,0.002,-0.010,24.567176,0.000425,0.004172,-0.000461,78.257,-56.789,-41.014,0.092454,-21.468505,89.993203,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,78.257,-56.788,-41.016,0.096283,3.102724,89.989714,
0.000,-0.062,-0.017,-0.010628,-0.002087,0.005054,-0.008573,3.611,-0.288,-0.102,-0.010623,-0.002737,0.018064,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,3.608,-0.288,-0.102,-0.019868,-0.002669,0.017918,
0.000,-0.062,-0.017,-0.010628,-0.002087,0.005054,-0.008573,3.611,-0.288,-0.102,-0.010623,-0.002737,0.018064,
0.000,-0.071,-0.017,-0.010251,-0.002618,0.005562,-0.006185,3.612,-0.289,-0.092,-0.010242,-0.002073,0.018603,
0.000,-0.062,-0.017,-0.010628,-0.002087,0.005054,-0.008573,3.611,-0.288,-0.102,-0.010623,-0.002737,0.018064,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,3.608,-0.288,-0.102,-0.019868,-0.002669,0.017918,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,3.608,-0.308,-0.108,-0.022242,-0.003280,0.019943,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,3.606,-0.314,-0.112,-0.023503,-0.003714,0.020687,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,3.607,-0.272,-0.097,-0.022245,-0.002378,0.016747,
0.000,0.000,0.000,-0.011672,-0.002366,0.012490,0.000000,3.613,-0.362,-0.118,-0.011672,-0.002368,0.012490,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,3.613,-0.362,-0.118,-0.023343,-0.004736,0.024979,
0.000,0.000,0.000,-0.011672,-0.002366,0.012490,0.000000,3.613,-0.362,-0.118,-0.011672,-0.002368,0.012490,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,3.613,-0.362,-0.118,-0.023343,-0.004736,0.024979,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,3.613,-0.362,-0.118,-0.023343,-0.004736,0.024979,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,NaN,NaN,NaN,0.000000,0.000000,0.000000,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,3.613,-0.362,-0.118,-0.023343,-0.004736,0.024979,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,3.608,-0.288,-0.102,-0.019868,-0.002669,0.017918,
0.000,-0.062,-0.017,-0.010628,-0.002087,0.005054,-0.008573,3.611,-0.288,-0.102,-0.010623,-0.002737,0.018064,
0.000,0.002,-0.010,24.567176,0.000425,0.004172,-0.000461,78.257,-56.789,-41.014,0.092454,-21.468505,89.993203,
0.000,0.002,-0.010,24.567176,0.000425,0.004172,-0.000461,78.257,-56.789,-41.014,0.092454,-21.468505,89.993203,
0.000,0.002,-0.010,26.238229,0.005399,0.009423,0.001644,78.256,-56.789,-41.014,0.096949,-23.138017,89.990301,
